name,label,data_type,value_labels,n_missing,complete_rate,n_unique,empty,min,median,max,mean,sd,whitespace,hist,format.stata
reasonprovider2,Reason for chosing provider,numeric,"1. Proximity,
2. Good reputation,
3. Inexpensive,
4. Good personal experience,
5. Qualificaition of staff,
6. Availability of drugs,
7. Relative/friend works here,
8. Can get treatment on credit,
9. Just to see,
10. Other (specify)",0,1,,,-9.00E+00,-9.00E+00,1.00E+01,-8.973994688,0.603202257,,▇▁▁▁▁,%27.0g
oreasonprovider2,Other reason for chosing provider,character,,0,1,2,0,2,,23,,,0,,%23s
totalcost2,Shillings spent at this provider,numeric,,0,1,,,-9.00E+00,-9.00E+00,3.00E+04,3.420717771,453.9696261,,▇▁▁▁▁,%8.0g
distance2,Distance to this provider (km),numeric,,0,1,,,-9.00E+00,-9.00E+00,2.00E+00,-8.980665884,0.441748079,,▇▁▁▁▁,%8.0g
transport2,Method of transportation,numeric,"1. Walk,
2. Bike,
3. Motorcycle / Boda boda,
4. Private car,
5. Public taxi/bus,
6. Boat,
7. Donkey/horse,
8. Other (specify)",0,1,,,-9.00E+00,-9.00E+00,3.00E+00,-8.979554018,0.468440123,,▇▁▁▁▁,%22.0g
othtransport2,Other method of transportation,numeric,,0,1,,,-9.00E+00,-9.00E+00,-9.00E+00,-9,0,,▁▁▇▁▁,%8.0g
journeypeople2,How many people transported,numeric,,0,1,,,-9.00E+00,-9.00E+00,2.00E+00,-8.979739329,0.463076653,,▇▁▁▁▁,%8.0g
journeytime2,Duration of transportation,character,,0,1,6,0,2,,10,,,0,,%20s
transportcost2,Cost of transportation,numeric,,0,1,,,-9.00E+00,-9.00E+00,2.00E+03,-8.241522021,35.33279046,,▇▁▁▁▁,%8.0g
providerperson2,Type of provider seen,numeric,"1. Doctor,
2. Medical assistant,
3. Nurse,
4. Nursing assistant,
5. Pharmacist,
6. Relative of health care worker,
7. Shopkeeper,
8. Village health worker,
9. TBA (??),
10. Traditional healer,
11. Other (specify)",0,1,,,-9.00E+00,-9.00E+00,9.00E+00,-8.975909568,0.553902342,,▇▁▁▁▁,%30.0g
oproviderperson2,Other type of provider seen,numeric,,0,1,,,-9.00E+00,-9.00E+00,-9.00E+00,-9,0,,▁▁▇▁▁,%8.0g
overnight2,Nights spent at facility,numeric,,0,1,,,-9.00E+00,-9.00E+00,0.00E+00,-8.982766076,0.393469025,,▇▁▁▁▁,%8.0g
diagnosis2,Advisted to have diagnostic test,numeric,"1. No advice, no test,
2. No advice, but had test,
3. Advised, but decline,
4. Advised and had test",0,1,,,-9.00E+00,-9.00E+00,4.00E+00,-8.978812774,0.495328609,,▇▁▁▁▁,%23.0g
test2,Diagnostic test done,numeric,"-7. Don’t know,
1. RDT,
2. Microscopy,
3. Both RDT and microscopy",0,1,,,-9.00E+00,-9.00E+00,3.00E+00,-8.992834641,0.275779644,,▇▁▁▁▁,%23.0g
testcost2,Cost of diagnostic test,numeric,,0,1,,,-9.00E+00,-9.00E+00,7.00E+03,-8.067329668,64.45721396,,▇▁▁▁▁,%8.0g
testresult2,Result of diagnostic test,numeric,"1. Positive,
2. Negative,
3. Don't know",0,1,,,-9.00E+00,-9.00E+00,2.00E+00,-8.993019952,0.267945175,,▇▁▁▁▁,%10.0g
wait2,Time spent waiting,character,,0,1,15,0,1,,20,,,0,,%20s
receivedrugs2,Medications received or prescribed,numeric,"-7. Don’t know,
1. Received medicine,
2. Receibed prescription,
3. No, did not receive medicine or prescription",0,1,,,-9.00E+00,-9.00E+00,2.00E+00,-8.980665884,0.441608217,,▇▁▁▁▁,%44.0g
drugcode2,All medications recieved,character,,0,1,12,0,1,,5,,,0,,%9s
aldose2,Dose of AL,numeric,,0,1,,,-9.00E+00,-9.00E+00,2.40E+01,-8.975353635,0.794687004,,▇▁▁▁▁,%8.0g
alcost2,Cost of AL,numeric,,0,1,,,-9.00E+00,-9.00E+00,5.00E+03,-6.507381555,94.50049202,,▇▁▁▁▁,%8.0g
artedose2,Dose of artesunate,numeric,,0,1,,,-9.00E+00,-9.00E+00,6.00E+00,-8.999073445,0.117891162,,▇▁▁▁▁,%8.0g
artecost2,Cost of artesunate,numeric,,0,1,,,-9.00E+00,-9.00E+00,1.50E+04,-8.072888999,117.9618965,,▇▁▁▁▁,%8.0g
amoddose2,Dose of amodiaquine,numeric,,0,1,,,-9.00E+00,-9.00E+00,-9.00E+00,-9,0,,▁▁▇▁▁,%8.0g
amodcost2,Cost of amodiaquine,numeric,,0,1,,,-9.00E+00,-9.00E+00,-9.00E+00,-9,0,,▁▁▇▁▁,%8.0g
dpdose2,Dose of DP,numeric,,0,1,,,-9.00E+00,-9.00E+00,2.00E+00,-8.999320526,0.086453519,,▇▁▁▁▁,%8.0g
dpcost2,Cost of DP,numeric,,0,1,,,-9.00E+00,-9.00E+00,6.00E+03,-8.62882204,47.22719941,,▇▁▁▁▁,%8.0g
qndose2,Dose of quinine,numeric,,0,1,,,-9.00E+00,-9.00E+00,1.40E+01,-8.998579282,0.180766448,,▇▁▁▁▁,%8.0g
qncost2,Cost of quinine,numeric,,0,1,,,-9.00E+00,-9.00E+00,2.00E+03,-8.875903391,15.78955627,,▇▁▁▁▁,%8.0g
arteivdose2,Dose of IV artesunate,numeric,,0,1,,,-9.00E+00,-9.00E+00,3.00E+00,-8.999258756,0.094312929,,▇▁▁▁▁,%8.0g
arteivcost2,Cost of IV artesunate,numeric,,0,1,,,-9.00E+00,-9.00E+00,1.50E+04,-8.072888999,117.9618965,,▇▁▁▁▁,%8.0g
qnivdose2,Dose of IV quinine,numeric,,0,1,,,-9.00E+00,-9.00E+00,-9.00E+00,-9,0,,▁▁▇▁▁,%8.0g
qnivcost2,Cost of IV quinine,numeric,,0,1,,,-9.00E+00,-9.00E+00,-9.00E+00,-9,0,,▁▁▇▁▁,%8.0g
panadose2,Dose of panadol,numeric,,0,1,,,-9.00E+00,-9.00E+00,1.80E+01,-8.971523874,0.763959638,,▇▁▁▁▁,%8.0g
panacost2,Cost of panadol,numeric,,0,1,,,-9.00E+00,-9.00E+00,2.00E+03,-7.948915931,35.59170036,,▇▁▁▁▁,%8.0g
amoxdose2,Dose of amoxicillin,numeric,,0,1,,,-9.00E+00,-9.00E+00,3.00E+01,-8.989560813,0.527196816,,▇▁▁▁▁,%8.0g
amoxcost2,Cost of amoxicillin,numeric,,0,1,,,-9.00E+00,-9.00E+00,3.00E+03,-8.193094076,43.56547633,,▇▁▁▁▁,%8.0g
odrugdose2,Dose of other drug,character,,0,1,4,0,1,,23,,,0,,%23s
recommendation2,Other drugs recommended,character,,0,1,3,0,2,,4,,,0,,%9s
orecommendation2,Other drugs recommended not on list,character,,0,1,4,0,2,,12,,,0,,%12s
consultcost2,Cost of consultation,numeric,,0,1,,,-9.00E+00,-9.00E+00,7.00E+03,-8.488603373,55.65515911,,▇▁▁▁▁,%8.0g
foodcost2,Cost of food,numeric,,0,1,,,-9.00E+00,-9.00E+00,5.00E+03,-8.673914386,39.36956048,,▇▁▁▁▁,%8.0g
othercost2,Type of other costs not mentioned,numeric,"1. Medical Supplies,
2. Inpatient stay,
3. Other investigations,
4. Other (specify),
5. None",0,1,,,-9.00E+00,-9.00E+00,5.00E+00,-8.973191673,0.612062927,,▇▁▁▁▁,%20.0g
othspecost2,Amount of other costs not mentioned,numeric,,0,1,,,-9.00E+00,-9.00E+00,-9.00E+00,-9,0,,▁▁▇▁▁,%8.0g
followupadv2,Asked to return to provider?,numeric,"0. No,
1. Yes",0,1,,,-9.00E+00,-9.00E+00,1.00E+00,-8.982457224,0.400843706,,▇▁▁▁▁,%8.0g
returnvisit2,Number of additional visits made,numeric,,0,1,,,-9.00E+00,-9.00E+00,1.00E+00,-8.997035024,0.168910827,,▇▁▁▁▁,%8.0g
hm_covid,COVID suspected in last 9 months?,numeric,"-7. Don't know,
0. No,
1. Yes",0,1,,,-7.00E+00,0.00E+00,1.00E+00,0.005312249,0.150270152,,▁▁▁▁▇,%10.0g
hm_covidtest,Tested positive for COVID in last 9 months?,numeric,"-7. Don't know,
0. No,
1. Yes",0,1,,,0.00E+00,0.00E+00,1.00E+00,0.001297177,0.035994089,,▇▁▁▁▁,%10.0g
hmdatecovid,Date of positive COVID test,character,,0,1,17,0,2,,11,,,0,,%11s
